session_id,timestamp,latitude,longitude,surface,confidence
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:33:44.290177+08:00,10.3438809,123.8146353,CONCRETE,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:34:01.304332+08:00,10.3439399,123.8147559,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:34:50.310754+08:00,10.3439326,123.8150709,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:35:05.314939+08:00,10.3439062,123.8152115,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:35:45.332631+08:00,10.3438561,123.8154946,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:36:17.305148+08:00,10.3439890,123.8156852,CONCRETE,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:36:25.328611+08:00,10.3440117,123.8157350,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:37:14.306314+08:00,10.3439787,123.8160634,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:37:30.323007+08:00,10.3440546,123.8161698,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:38:02.295613+08:00,10.3441140,123.8164379,CONCRETE,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:38:11.271972+08:00,10.3441630,123.8164755,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:38:17.296531+08:00,10.3441979,123.8165138,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:38:33.304559+08:00,10.3442481,123.8165315,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:38:58.305665+08:00,10.3443457,123.8166319,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:39:21.293189+08:00,10.3444325,123.8166985,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:39:29.302325+08:00,10.3444282,123.8167143,CONCRETE,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:39:37.329813+08:00,10.3444913,123.8167422,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:39:53.297115+08:00,10.3445658,123.8168243,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:40:25.292498+08:00,10.3448280,123.8169678,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:40:42.299935+08:00,10.3448198,123.8170381,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:40:49.309876+08:00,10.3447949,123.8170619,TRAIL,0.50
